NAME                                                                          VERSION                                 TYPE                          
Simple Launcher                                                               1.1.0.14                                binary        (+5 duplicates)  
abseil-cpp                                                                    20260526.0-2                            alpm                           
accountsservice                                                               26.27.3-1                               alpm                           
acl                                                                           2.4.0-1                                 alpm                           
adwaita-cursors                                                               50.0-1                                  alpm                           
adwaita-fonts                                                                 50.0-1                                  alpm                           
adwaita-icon-theme                                                            50.0-1                                  alpm                           
adwaita-icon-theme-legacy                                                     46.2-3                                  alpm                           
aiofiles                                                                      25.1.0                                  python                         
aiohappyeyeballs                                                              2.7.1                                   python                         
aiohttp                                                                       3.14.3                                  python                         
aioice                                                                        0.10.2                                  python                         
aiosignal                                                                     1.4.0                                   python                         
alsa-lib                                                                      1.2.16.1-1                              alpm                           
alsa-topology-conf                                                            1.2.5.1-4                               alpm                           
alsa-ucm-conf                                                                 1.2.16.1-1                              alpm                           
annotated-doc                                                                 0.0.5                                   python                         
annotated-types                                                               0.8.0                                   python                         
anyio                                                                         4.14.2                                  python                         
aom                                                                           3.14.1-1                                alpm                           
appstream                                                                     1.1.6-1                                 alpm                           
appstream-qt                                                                  1.1.6-1                                 alpm                           
archlinux-appstream-data                                                      20260722-1                              alpm                           
archlinux-keyring                                                             20260727-1                              alpm                           
at-spi2-core                                                                  2.60.6-1                                alpm                           
attica                                                                        6.29.0-1                                alpm                           
attr                                                                          2.6.0-1                                 alpm                           
attrs                                                                         26.1.0                                  python                         
audit                                                                         4.2.1-1                                 alpm                           
aurorae                                                                       6.7.4-1                                 alpm                           
autocommand                                                                   2.2.2                                   python                         
autoconf                                                                      2.73-1                                  alpm                           
automake                                                                      1.18.1-1                                alpm                           
av                                                                            18.1.0                                  python                         
avahi                                                                         1:0.9rc5-1                              alpm                           
baloo                                                                         6.29.0-2                                alpm                           
baloo-widgets                                                                 26.04.3-1                               alpm                           
base-devel                                                                    1-2                                     alpm                           
bash                                                                          5.3.15-1                                alpm                           
binutils                                                                      2.47-4                                  alpm                           
bison                                                                         3.8.2-8                                 alpm                           
boost-libs                                                                    1.91.0-2                                alpm                           
breeze                                                                        6.7.4-1                                 alpm                           
breeze-cursors                                                                6.7.4-1                                 alpm                           
breeze-icons                                                                  6.29.0-1                                alpm                           
brotli                                                                        1.2.0-1                                 alpm                           
bubblewrap                                                                    0.11.2-1                                alpm                           
busybox                                                                       1.36.1-4                                alpm                           
bzip2                                                                         1.0.8-6                                 alpm                           
ca-certificates                                                               20240618-1                              alpm                           
ca-certificates-mozilla                                                       3.126-1                                 alpm                           
ca-certificates-utils                                                         20240618-1                              alpm                           
cairo                                                                         1.18.4-1                                alpm                           
catatonit                                                                     0.2.1-2                                 alpm                           
certifi                                                                       2026.7.22                               python                         
cffi                                                                          2.1.1                                   python                         
chromium                                                                      151.0.7922.137-1                        alpm                           
cifs-utils                                                                    7.5-1                                   alpm                           
click                                                                         8.4.2                                   python                         
cmake                                                                         4.4.2-1                                 alpm                           
command-line-arguments                                                        UNKNOWN                                 go-module                      
compiler-rt                                                                   22.1.8-1                                alpm                           
containerd                                                                    2.3.4-1                                 alpm                           
convertlit                                                                    1.8-13                                  alpm                           
coreutils                                                                     9.11-2                                  alpm                           
cpio                                                                          2.15-3                                  alpm                           
cppdap                                                                        1.58.0-3                                alpm                           
cryptography                                                                  50.0.0                                  python                         
cryptsetup                                                                    2.8.7-1                                 alpm                           
curl                                                                          8.21.0-1                                alpm                           
cyphar.com/go-pathrs                                                          v0.2.5                                  go-module                      
dario.cat/mergo                                                               v1.0.2                                  go-module                      
dav1d                                                                         1.5.4-1                                 alpm                           
db5.3                                                                         5.3.28-7                                alpm                           
dbus                                                                          1.16.2-1                                alpm                           
dbus-broker                                                                   37-3                                    alpm                           
dbus-broker-units                                                             37-3                                    alpm                           
dbus-units                                                                    37-3                                    alpm                           
dconf                                                                         0.49.0-1                                alpm                           
ddcutil                                                                       2.2.7-1                                 alpm                           
debugedit                                                                     5.3-2                                   alpm                           
default-cursors                                                               3-1                                     alpm                           
desktop-file-utils                                                            0.28-1                                  alpm                           
device-mapper                                                                 2.03.42-1                               alpm                           
diffutils                                                                     3.12-2                                  alpm                           
discount                                                                      3.0.1.3-1                               alpm                           
discover                                                                      6.7.4-1                                 alpm                           
distro                                                                        1.9.0                                   python                         
dnspython                                                                     2.8.0                                   python                         
docker                                                                        1:29.7.2-1                              alpm                           
docker-compose                                                                5.4.0-1                                 alpm                           
dolphin                                                                       26.04.3-1                               alpm                           
double-conversion                                                             3.4.0-1                                 alpm                           
duktape                                                                       2.7.0-7                                 alpm                           
dunst                                                                         1.13.2-2                                alpm                           
e2fsprogs                                                                     1.47.4-1                                alpm                           
ebook-tools                                                                   0.2.2-9                                 alpm                           
editorconfig-core-c                                                           0.12.11-1                               alpm                           
elfutils                                                                      0.195-8                                 alpm                           
evdev                                                                         1.9.3                                   python                         
exiv2                                                                         0.28.8-2                                alpm                           
expat                                                                         2.8.3-1                                 alpm                           
fakeroot                                                                      1:1.37.2-3                              alpm                           
fastapi                                                                       0.141.1                                 python                         
fcft                                                                          3.3.3-1                                 alpm                           
ffmpeg                                                                        2:9.0.1-1                               alpm                           
fftw                                                                          3.3.11-1                                alpm                           
